filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
2022_Huggenberger_Risk%20pooling%20and%20solvency%20regulation.pdf,10.1111/jori.12392,"Huggenberger, Markus, and Peter Albrecht. ""Risk pooling and solvency regulation: A policyholder's perspective."" Journal of Risk and Insurance 89, no. 4 (2022): 907–950. doi:10.1111/jori.12392.",no data,not applicable,not applicable,not applicable,not applicable,,,
2024-97517-001.pdf,10.1037/ocp0000377,"Iser-Potempa, Julia, Hadar Nesher Shoshan, and Sabine Sonnentag. ""Investigating Daily Abusive Supervision as Antecedent of Subordinates’ Low Psychological Detachment and Relaxation During Nonwork Time: A Diary Study."" Journal of Occupational Health Psychology 29, no. 4 (2024): 220–237. https://doi.org/10.1037/ocp0000377",primary,Self-administered writings and/or diaries,Sosci Survey,the authors,not applicable,,"The data, analysis codes, additional analyses, and robustness checks are available on the Open Science Framework at https://osf.io/7mwgf.",https://osf.io/7mwgf
2024-99104-001.pdf,10.1037/bul0000434,"Singmann, Henrik, Daniel W. Heck, Marius Barth, Edgar Erdfelder, Nina R. Arnold, Frederik Aust, Jimmy Calanchini, Fabian E. Gümüsdagli, Sebastian S. Horn, David Kellen, Karl C. Klauer, Dora Matzke, Franziska Meissner, Martha Michalkiewicz, Marie Luisa Schaper, Christoph Stahl, Beatrice G. Kuhlmann, and Julia Groß. ""Evaluating the Robustness of Parameter Estimates in Cognitive Models: A Meta-Analytic Review of Multinomial Processing Tree Models Across the Multiverse of Estimation Methods."" Psychological Bulletin 150, no. 8 (2024): 965–1003. https://doi.org/10.1037/bul0000434",secondary,Compilation/Synthesis,peer-reviewed journal,not applicable,164 independent data sets from 142 empirical experiments,,"The meta-analytic data, all analysis scripts, as well as the supplemental results are available on Open Science Framework at https://osf.io/waen6/.",https://osf.io/waen6/
2025-33411-001.pdf,10.1037/xlm0001380,"Thoma, Dieter, Felicia Heilmann, and Madeleine Trotno. ""Homophone Priming in Bilingual Preference Formation."" Journal of Experimental Psychology: Learning, Memory, and Cognition 51, no. 4 (2025): 668–681. https://doi.org/10.1037/xlm0001380",primary,Experiment,"SoSci Survey, eye tracker","Dieter Thoma, Alisa Lohmann, Fabio Sudano, Kira Jonas",not applicable,,"The materials, data, and analysis code used for this article are available at the Open Science Framework and are accessible at https://osf.io/6fvyw/.",https://osf.io/6fvyw/
2025-33495-001.pdf,10.1037/xlm0001391,"Zaborowska, Oliwia, Beatrice G. Kuhlmann, Katarzyna Zawadzka, and Maciej Hanczakowski. ""When Confidence Reveals More Than Recognition Performance Does: The Case of Context Load."" Journal of Experimental Psychology: Learning, Memory, and Cognition 50, no. 11 (2024): 1722–1739. https://doi.org/10.1037/xlm0001391",primary,Experiment,not applicable,authors,not applicable,,All data and materials are available on the Open Science Framework at https://osf.io/rbdg2/.,https://osf.io/rbdg2/
20501579211054928.pdf,10.1177/20501579211054928,"Schneider, Frank M., Sarah Lutz, Annabell Halfmann, Adrian Meier, and Leonard Reinecke. ""How and when do mobile media demands impact well-being? Explicating the Integrative Model of Mobile Media Use and Need Experiences (IM3UNE)."" Mobile Media & Communication 10, no. 2 (2022): 251–271. doi:10.1177/20501579211054928.",no data,not applicable,not applicable,not applicable,not applicable,,,
2053168015589216.pdf,10.1177/2053168015589216,"Haber, Matthias. ""The legislative consequences of internal conflict and inter-party divisions."" Research and Politics 2015, no. 1, pp. 1–8. doi: 10.1177/2053168015589216.",primary,Automated data extraction,self-programmed web crawler,the author,not applicable,,The replication files are available at: http://thedata.harvard.edu/dvn/dv/researchandpolitics,
2053168019900822.pdf,10.1177/2053168019900822,"Wuttke, Alexander, Konstantin Gavras, and Harald Schoen. 2020. ""Leader of the free world or pioneer in democracy’s decline? Examining the democratic deconsolidation hypothesis on the mass level in East and West Germany."" Research and Politics 9(1), 1–10. doi:10.1177/2053168019900822",secondary,Compilation/Synthesis,survey,not applicable,"German General Social Survey (GESIS, 2019) and multiple German election studies",10.7910/DVN/WQRZHS,"The supplemental files are available at http://journals.sagepub.com/doi/suppl/10.1177/2053168019900822
The replication files are available at https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WQRZHS",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WQRZHS
20531680211062772.pdf,10.1177/20531680211062772,"Carey, Sabine C, Neil J Mitchell, and Katrin Paula. ""The life, death and diversity of pro-government militias: The fully revised pro-government militias database version 2.0."" Research and Politics, 2022, pp. 1–9. doi: 10.1177/20531680211062772.",primary,Content coding,PGMD 2.0 Codebook,"Sabine C Carey, Neil J Mitchell",not applicable,,,
20531680221088491.pdf,10.1177/20531680221088491,"Helbling, Marc, Felix Jäger, and Richard Traunmüller. ""Muslim bias or fear of fundamentalism? A survey experiment in five Western European democracies."" Research and Politics 2022: 1–6. doi: 10.1177/20531680221088491.",primary,Experiment,computer-assisted telephone interviews (CATI),survey institute infas,not applicable,,,
20531680221116570.pdf,10.1177/20531680221116570,"Debus, Marc, and Christoffer Florczak. ""Using party press releases and Wikipedia page view data to analyse developments and determinants of parties’ issue prevalence: Evidence for the right-wing populist ‘Alternative for Germany’."" Research and Politics July-September 2022: 1–7. doi: 10.1177/20531680221116570.",primary,Automated data extraction,"Quanteda, pageview package",authors,not applicable,10.7910/DVN/1XGQF2,The full analysis code and replication material can be found at https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10. 7910/DVN/1XGQF2.,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10. 7910/DVN/1XGQF2
20531680221144237.pdf,10.1177/20531680221144237,"Bauer, Paul C., Alejandro Ecker, Michael Imre, Camille Landesvatter, and Sonja Malich. ""Who tweets, and how freely? Evidence from an elite survey among German politicians."" Research and Politics January-March 2023: 1–4. doi:10.1177/20531680221144237",primary,Self-administered questionnaire,survey,authors,not applicable,10.7910/DVN/JQYLDQ,Replication data for this study can be found on the Harvard Dataverse at https://doi.org/10.7910/DVN/JQYLDQ.,
20539517221089305.pdf,10.1177/20539517221089305,"Gerdon, Frederic, Ruben L Bach, Christoph Kern, and Frauke Kreuter. ""Social impacts of algorithmic decision-making: A research agenda for the social sciences."" Big Data & Society, 2022, pp. 1-13. doi: 10.1177/20539517221089305.",no data,not applicable,not applicable,not applicable,not applicable,,Supplemental material for this article is available online.,
21-0241.pdf,,"Schumacher, Tobias, Markus Strohmaier, and Florian Lemmerich. ""A Comparative Evaluation of Quantification Methods."" Journal of Machine Learning Research 26 (2025): 1-54.",secondary,Automated data extraction,not applicable,not applicable,"UCI machine learning repository, Kaggle",,The implementation of the algorithms and experiments can be found on GitHub1. 1. https://github.com/tobiasschumacher/quantification_paper,https://github.com/tobiasschumacher/quantification_paper
2151-2604_a000525.pdf,10.1027/2151-2604/a000525,"Vogel, Vera and Theresa M. Entringer. ""Infection Rates Matter – Especially for People from Lower Social Class: A Large-Scale Investigation of the Impact of the COVID-19 Pandemic on Mental Health."" Zeitschrift für Psychologie (2023) 231 (2): 161–171. doi:10.1027/2151-2604/a000525",secondary,Self-administered questionnaire,SOEP-CoV,not applicable,SOEP-CoV,,"All R data analysis scripts and the complete results are publicly available in the Open Science Framework (OSF) at https://osf.io/z8bsq/ (Vogel & Entringer, 2023). The SOEP-CoV data set is publicly available upon request at the SOEP – German Institute for Economic Research. The COVID-19 infection rates in Germany for the two time periods of the SOEP-CoV study, the R data analysis scripts, and further supplemental materials are available in the Open Science Framework (OSF) at https://osf.io/z8bsq/ (Vogel & Entringer, 2023).",https://osf.io/z8bsq/
2158244019846691.pdf,10.1177/2158244019846691,"Liebe, Ulf, Elias Naumann, and Andreas Tutic. ""Prosocial Behavior Across Professional Boundaries: Experimental Evidence From Hospitals."" SAGE Open, April-June 2019, 1-12. doi: 10.1177/2158244019846691.",primary,Experiment,dictator game,the authors,not applicable,,,
2167702614540645.pdf,10.1177/2167702614540645,"Pe, Madeline Lee, Katharina Kircanski, Renee J. Thompson, Laura F. Bringmann, Francis Tuerlinckx, Merijn Mestdagh, Jutta Mata, Susanne M. Jaeggi, Martin Buschkuehl, John Jonides, Peter Kuppens, and Ian H. Gotlib. ""Emotion-Network Density in Major Depressive Disorder."" Clinical Psychological Science, vol. 3, no. 2, 2015, pp. 292-300. doi:10.1177/2167702614540645",secondary,Self-administered questionnaire,Palm Pilot Z22,not applicable,experience sampling study,,,
2192-4007-2019-4-547.pdf,10.5771/2192-4007-2019-4-547,"Müller, Philipp, and Anne Schulz. ""Facebook or Fakebook? How users’ perceptions of ‘fake news’ are related to their evaluation and verification of news on Facebook."" Studies in Communication and Media 8, no. 4 (2019): 547–559. doi:10.5771/2192-4007-2019-4-547.",primary,Self-administered questionnaire,questionnaire,ISO-certified commercial research company,not applicable,,,
2192-4007-2022-1-7.pdf,10.5771/2192-4007-2022-1-7,"Schmitt-Beck, Rüdiger. ""Prerequisites of deliberative democracy: Inclusivity, publicity, and heterogeneity of German citizens’ everyday political talk."" Studies in Communication and Media 11, no. 1 (2022): 7–72. doi: 10.5771/2192-4007-2022-1-7.",primary,Interview,computer-assisted face-to-face survey,Christiane Grill,not applicable,,,
2192-4007-2023-4-289.pdf,10.5771/2192-4007-2023-4-289,"Oschatz, Corinna, Marius Sältzer, and Sebastian Stier. ""Establishing standards for human-annotated samples applied in supervised machine learning – Evidence from a Monte Carlo simulation."" Studies in Communication and Media 12, no. 4 (2023): 289–304. doi:10.5771/2192-4007-2023-4-289.",primary,Simulation,Monte Carlo simulation,"Corinna Oschatz, Marius Sältzer & Sebastian Stier",not applicable,,We share replication materials that enable researchers to probe the effects of specific configurations that might better represent their data (https://osf.io/rkuj5/).,https://osf.io/rkuj5/
2192-4007-2024-1-101.pdf,10.5771/2192-4007-2024-1-101,"Chan, Chung-hong, Rainer Freudenthaler, and Philipp Müller. ""Developing a synthetic news corpus to validate generic frame detection methods."" Studies in Communication and Media 13, no. 1 (2024): 101-124. doi:10.5771/2192-4007-2024-1-101",primary,Simulation,synthetic news corpus,article authors,not applicable,,Code and data: https://github.com/chainsawriot/frame.,https://github.com/chainsawriot/frame
22-SS137.pdf,10.1214/22-SS137,"Axenfeld, Julian B., Christian Bruch, and Christof Wolf. ""General-purpose imputation of planned missing data in social surveys: Different strategies and their effect on correlations."" Statistics Surveys 16 (2022): 182–209. https://doi.org/10.1214/22-SS137",mixed,Simulation,Monte Carlo simulation,"Julian B. Axenfeld, Christian Bruch, and Christof Wolf",German Internet Panel (GIP),10.1214/22-SS137SUPP,"All computer code used for this paper and a documentation are available as supplementary material for replication purposes [4]. The data can be accessed via the GESIS Leibniz Institute for the Social Sciences: 
https://doi.org/10.4232/1.12607 (wave 1),
https://doi.org/10.4232/1.12619 (wave 13),
https://doi.org/10.4232/1.13390 (wave 37),
https://doi.org/10.4232/1.13390 (wave 38).",10.1214/22-SS137SUPP
23-ECP554.pdf,10.1214/23-ECP554,"Prömel, David J., and David Scheffels. ""On the existence of weak solutions to stochastic Volterra equations."" Electronic Communications in Probability 28 (2023): 52, 1–12. https://doi.org/10.1214/23-ECP554",no data,not applicable,not applicable,not applicable,not applicable,,,
2331186X.2020.1719571.pdf,10.1080/2331186X.2020.1719571,"Seifried, Jürgen, Steffen Brandt, Kristina Kögler, and Andreas Rausch. ""The computer-based assessment of domain-specific problem-solving competence—A three-step scoring procedure."" Cogent Education 7, no. 1 (2020): 1719571. https://doi.org/10.1080/2331186X.2020.1719571",primary,Simulation,computer-based office simulation,authors,not applicable,,"The data set collected and used for this study is available under
https://www.iqb.hu-berlin.de/fdz/studies/01DB1119_
DomPL-IK.",
2378023117750533.pdf,10.1177/2378023117750533,"Bauer, Paul C. ""Unemployment, Trust in Government, and Satisfaction with Democracy: An Empirical Investigation."" Socius: Sociological Research for a Dynamic World 4 (2018): 1-14. doi:10.1177/2378023117750533",secondary,Interview,questionnaire,not applicable,"Swiss Household Panel (SHP), Longitudinal Internet Studies for the Social Sciences (LISS)",10.7910/DVN/DUMGLT,Reproduction files and data are available here: http://dx.doi.org/10.7910/DVN/DUMGLT.,http://dx.doi.org/10.7910/DVN/DUMGLT
23780231211028786.pdf,10.1177/23780231211028786,"Clemm von Hohenberg, Bernhard and Paul C. Bauer. 2021. ""Horseshoe Patterns: Visualizing Partisan Media Trust in Germany."" Socius: Sociological Research for a Dynamic World 7(1): 1-3. doi: 10.1177/23780231211028786.",primary,Self-administered questionnaire,online survey,the authors,not applicable,,Supplemental material for this article is available online.,
23998083221147139.pdf,10.1177/23998083221147139,"Auerbach, Felix. 2023. ""The Law of Population Concentration."" EPB: Urban Analytics and City Science 50, no. 2: 290–298. doi: 10.1177/23998083221147139.",secondary,Compilation/Synthesis,not applicable,not applicable,Felix Auerbach’s Das Gesetz der Bevülkerungskonzentration,,Supplemental material for this article is available online.,
243-4092-1-PB-1.pdf,https://doi.org/10.1525/collabra.243,"Wöstenfeld, F. O., Suhaib Ahmad, Meike Kroneisen, and Jan Rummel. 2020. ""Does the Survival Processing Memory Advantage Translate to Serial Recall?"" Collabra: Psychology, 6(1): 8. https://doi.org/10.1525/collabra.243",primary,Experiment,Eprime (Version 2.0),the authors,not applicable,10.17605/OSF.IO/U5MK3,The data and analyses code underlying all reported results can be downloaded here: https://osf.io/u5mk3/ with the doi: 10.17605/OSF.IO/U5MK3.,https://osf.io/u5mk3/
